Time,Speaker / Moderator,Activity,Location
9:30 - 10:25,Matt Gitzendanner,High Performance Computing with the HiPerGator,Smathers 100
10:40 - 11:30,Paul Torrey,Data Visualization for Scientific Discovery and Communication,Smathers 100
,,,
11:45 - 1:30,TBD,"Panel Discussion: Gainesville Coding Groups",Smathers 100
,,"Panelists:",
,,"Amy Kendig (R-Ladies Gainesville)",
,,"Ben Toh (R-gators)",
,,"Jenn Edge (We Advance Tech Together",
,,"Matthew Collins (UF Carpentries Club)",
,,,
1:55 - 2:45,Javi Alarcon-Valenzuela,Lightning Talks,Smathers 100
,,,
3:00 - 4:50,,Code Clinic,Smathers 100


