,All Attendees,Stream 1 ,Stream 2,Stream 3
,VSLT2/Atrium,VS 125,VS204,
9:00,Registration Open (Atrium),,,
9:00-9:30,Key Story (LT2) - Melanie McConnell,,,
9:30-9:35,Pitches - Day two morning sessions,,,
9:35-10:35,,Unmistaken Identity,Digital Storytelling Toolsuite,Cut Copy Paste (Atrium)
10:35-11:00,Morning Tea  (Foyer),,,
11:00-12:00,,Matauranga Maori and cultural data (LT2),Version control and collaboration with Git,Cut Copy Paste (Atrium)
12:00-12:30,Open Data Projects with Aimee Whitcroft,,,VR Showcase
12:30-1:30,Lunch,,,VR Showcase
1:20-1:55,Key Story (LT2) - Richard Arnold,,,
1:55-2:00,Pitches - Day two afternoon sessions,,,
2:00-3:00,,Digital Humanities Project Showcase,Data Science and Research Tool Office Hour,Open Data with data.govt.nz
3:00-3:30,Afternoon Tea (Foyer), ,,
3:30-4:30,,ggplot 2 and tidyverse for Data Science ,Pitching Carpentry,Building a website with GitHub and GH-Pages
4:30-5:00,Closing Reflections Plenary + pitch for upcoming workshops,,,
