,All Attendees,Stream 1 ,Stream 2,Stream 3
8:15-8:45,Registration Open (Atrium),,,
8:45-9:00,Welcome: Margaret Hyland (LT2),,,
9:00-9:30,Key Story (LT2) - Raqi Syed,,,
9:30-9:435,Session Pitches - Day 1,,,
9:35-10:35,,Intro to Data Visualization and Effective Use of Visual Variables,Intro to Video Abstracts,Creative Commons 101
10:35-11:00,Morning Tea  (Foyer),,,
11:00-12:00,,Intro to Data Visualization and Effective Use of Visual Variables (cont),"High Performance Computing: What, Why, When and How?",Designing and Developing Research Surveys
12:00-12:30,VR projects with Miriam Ross ,,,
12:30-1:30,Lunch,,VR Showcase,
1:30-2:30,,Research Data Management 101,Open Source Video Editing with Shotcut,Cut Copy Paste (Foyer)
2:30-3:30,,Digital Storytelling with Knightlab,Running on Raapoi: High Performance Computing in action,Cut Copy Paste (Foyer)
3:30-4,Afternoon Tea (Foyer),,,
4:00-5:00,The Art of Argument with Geoffrey Batchen,,,
5:15-6:30,Optional Social Function (Hey Day),,,
