,All Attendees,Stream 1 ,Stream 2,Stream 3
,Atrium/VSLT2,VSLT2,VS125,VS204/WG101
8:15-8:45,Registration Open (Atrium),,,
8:45-9:00,Welcome: Margaret Hyland (LT2),,,
9:00-9:30,Key Story - Raqi Syed (LT2),,,
9:30-9:40,Session Pitches - Day 1 (LT2),,,
9:40-10:40,,Intro to Video Abstracts,Creative Commons 101 with Tohatoha,Intro to Data Visualization and Visual Varialbles cont.(VS204)
10:40-11:00,Morning Break,,,
11:00-12:00,,"High Performance Computing: What, Why, When and How?",Designing and Developing Research Surveys,Intro to Data Visualization and Visual Varialbles cont.(VS204)
12:00-12:30,Open smart cities and the openX community (LT2),,,
12:30-1:30,Lunch,Hyve VR Showcase,,
1:30-2:30,,Research Data Management 101,Open Source Video Editing with Shotcut,Cut Copy Paste (WG101 Studio)
2:30-3:30,,Running on Raapoi: High Performance Computing in action,Digital Storytelling with Knightlab,Cut Copy Paste (WG101 Studio)
3:30-4:00,Afternoon Break,,,
4:00-5:00,The Art of Arguments with Geoffrey Batchen (LT2),,,
